agency_id,agency_name,agency_url,agency_timezone,agency_lang
65,WestfalenBahn,https://www.bahn.de,Europe/Berlin,de
66,Niederrheinische Verkehrsbetriebe AG,https://www.bahn.de,Europe/Berlin,de
67,Ostdeutsche Eisenbahn GmbH,https://www.bahn.de,Europe/Berlin,de
68,Rheinbahn AG,https://www.bahn.de,Europe/Berlin,de
69,DB RegioNetz Verkehrs GmbH Kurhessenbahn,https://www.bahn.de,Europe/Berlin,de
7,ZV VLD,https://www.bahn.de,Europe/Berlin,de
70,eurobahn,https://www.bahn.de,Europe/Berlin,de
71,Dessauer Verkehrsgesellschaft,https://www.bahn.de,Europe/Berlin,de
72,Kurt Geis GmbH,https://www.bahn.de,Europe/Berlin,de
73,Barnimer Busges.,https://www.bahn.de,Europe/Berlin,de
74,KomBus GmbH,https://www.kombus-online.eu/,Europe/Berlin,de
75,Stadtwerke Neumünster,https://www.bahn.de,Europe/Berlin,de
76,IGDB - VHT direkt,https://www.bahn.de,Europe/Berlin,de
77,Vestische Straßenbahnen GmbH,https://www.bahn.de,Europe/Berlin,de
78,Buspunkt,https://www.bahn.de,Europe/Berlin,de
79,DB Regio AG Mitte,https://www.bahn.de,Europe/Berlin,de
8,DB Regiobus OST,https://www.bahn.de,Europe/Berlin,de
80,Omnibusbetrieb Saalekreis GmbH,https://www.bahn.de,Europe/Berlin,de
81,Neunkircher Verkehrs GmbH,https://www.bahn.de,Europe/Berlin,de
82,Straßenbahn Herne – Castrop-Rauxel GmbH,https://www.bahn.de,Europe/Berlin,de
83,Stadtverkehr Coburg,https://www.bahn.de,Europe/Berlin,de
84,Zarth,https://www.bahn.de,Europe/Berlin,de
85,Stadtverkehr Aschaffenburg,https://www.bahn.de,Europe/Berlin,de
86,oberpfalzbahn - Die Länderbahn GmbH DLB,https://www.bahn.de,Europe/Berlin,de
87,Verkehrsunternehmen Wartburgmobil VUW gkAör,https://www.bahn.de,Europe/Berlin,de
88,Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH,https://www.bahn.de,Europe/Berlin,de
89,Verkehrsverbund Großraum Nürnberg,https://www.bahn.de,Europe/Berlin,de
9,Verkehrsgemeinschaft Untermain,https://www.bahn.de,Europe/Berlin,de
90,vlexx,https://www.bahn.de,Europe/Berlin,de
91,Würzburger Verkehrsverbund,https://www.bahn.de,Europe/Berlin,de
92,vogtlandbahn - Die Länderbahn GmbH DLB,https://www.bahn.de,Europe/Berlin,de
93,Regiobus Potsdam Mittelmark GmbH,https://www.bahn.de,Europe/Berlin,de
94,LNG Fulda direkt,https://www.bahn.de,Europe/Berlin,de
95,RVG Regionalverkehr Gera Land GmbH,https://www.bahn.de,Europe/Berlin,de
96,KVG M,https://www.bahn.de,Europe/Berlin,de
97,Kahlgrund Verkehrsgesellschaft,https://www.bahn.de,Europe/Berlin,de
98,Verkehrsgesellschaft Ennepe-Ruhr mbH,https://www.bahn.de,Europe/Berlin,de
99,WestVerkehr,http://www.west-verkehr.de,Europe/Berlin,de
